_id,name,sanitizedName,bio
64cc2db4830ba29148da4c3b,Richard Bruce Wright,richardbrucewright,
64cc2db4830ba29148da4c3f,Amy Tan,amytan,"Amy Ruth Tan (born February 19, 1952) is an American author of Chinese heritage, best known for the novel The Joy Luck Club (1989), which was adapted into a 1993 film. She is also known for other novels, short story collections, children's books, and a memoir.\nTan has written several other novels, including The Kitchen God's Wife (1991), The Hundred Secret Senses (1995), The Bonesetter's Daughter (2001), Saving Fish from Drowning (2005), and The Valley of Amazement (2013). Tan has also written two children's books: The Moon Lady (1992) and Sagwa, the Chinese Siamese Cat (1994), which was turned into an animated series that aired on PBS. Tan's latest book is a memoir entitled Where The Past Begins: A Writer's Memoir (2017)."
64cc2db4830ba29148da4c40,Scott Turow,scottturow,"Scott Frederick Turow (born April 12, 1949) is an American author and lawyer. Turow has written 13 fiction and three nonfiction books, which have been translated into more than 40 languages and sold more than 30 million copies. Turow’s novels are set primarily among the legal community in the fictional Kindle County. Films have been based on several of his books."
64cc2db4830ba29148da4c46,Jack Canfield,jackcanfield,"Jack Canfield (born August 19, 1944) is an American author, motivational speaker, corporate trainer, and entrepreneur.: 453   He is the co-author of the Chicken Soup for the Soul series, which has more than 250 titles and 500 million copies in print in over 40 languages. In 2005 Canfield co-authored with Janet Switzer The Success Principles: How to Get From Where You Are to Where You Want to Be."
64cc2db4830ba29148da4c47,Mark Victor Hansen,markvictorhansen,"Mark Victor Hansen (born January 8, 1948) is an American inspirational and motivational speaker, trainer and author. He is best known as the founder and co-creator of the Chicken Soup for the Soul book series."
64cc2db4830ba29148da4c4a,Loren D. Estleman,lorendestleman,"Loren D. Estleman (born September 15, 1952, in Ann Arbor, Michigan) is an American writer of detective and Western fiction. He is known for a series of crime novels featuring the investigator Amos Walker."
64cc2db4830ba29148da4c4b,Robert Hendrickson,roberthendrickson,"Robert Hendrickson may refer to:\n\nRobert Hendrickson (director) (1944–2016), film director\nRobert C. Hendrickson (1898–1964), U.S. Senator from New Jersey\nRobert Hendrickson, Rector, St Philip's in the Hills Episcopal Church, Tucson, Arizona"
64cc2db4830ba29148da4c4d,John Grisham,johngrisham,"John Ray Grisham Jr. (; born February 8, 1955) is an American novelist, lawyer and former member of the 7th district of the Mississippi House of Representatives, known for his best selling legal thrillers. According to the American Academy of Achievement, Grisham has written 37 consecutive number-one fiction bestsellers, and his books have sold 300 million copies worldwide. Along with Tom Clancy and J. K. Rowling, Grisham is one of only three authors to have sold two million copies on the first printing.Grisham graduated from Mississippi State University and earned a Juris Doctor from the University of Mississippi School of Law in 1981. He practised criminal law for about a decade and served in the Mississippi House of Representatives from 1983 to 1990.Grisham's first novel, A Time to Kill, was published in June 1989, four years after he began writing it. It was later adapted into the 1996 feature film of the same name. Grisham's first bestseller, The Firm, sold more than seven million copies, and was also adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which continues the story ten years after the events of the film and novel. Seven of his other novels have also been adapted into films: The Chamber, The Client, A Painted House, The Pelican Brief, The Rainmaker, The Runaway Jury, and Skipping Christmas."
64cc2db4830ba29148da4c4f,The Onion,theonion,"The Onion is an American digital media company and newspaper organization that publishes satirical articles on international, national, and local news. The company is based in Chicago but originated as a weekly print publication on August 29, 1988, in Madison, Wisconsin. The Onion began publishing online in early 1996. In 2007, they began publishing satirical news audio and video online as the Onion News Network. In 2013, The Onion ceased publishing its print edition and launched Onion Labs, an advertising agency.The Onion's articles cover current events, both real and fictional, parodying the tone and format of traditional news organizations with stories, editorials, and man-on-the-street interviews using a traditional news website layout and an editorial voice modeled after that of the Associated Press. The publication's humor often depends on presenting mundane, everyday events as newsworthy, surreal, or alarming, such as ""Rotation Of Earth Plunges Entire North American Continent Into Darkness"". In 1999, comedian Bob Odenkirk praised the publication as ""the best comedy writing in the country"".The Onion also runs The A.V. Club, an entertainment and pop culture publication founded in 1993 that contains interviews and reviews of newly released media and other weekly features. The Onion previously ran ClickHole, a satirical website founded in 2014 which parodies clickbait websites such as BuzzFeed and Upworthy, before ClickHole was acquired by Cards Against Humanity in February 2020."
64cc2db4830ba29148da4c54,Mary-Kate & Ashley Olsen,marykateashleyolsen,"Mary-Kate Olsen and Ashley Fuller Olsen (born June 13, 1986), also known as the Olsen twins, are American fashion designers and former actresses. Mary-Kate and Ashley made their acting debut as infants playing Michelle Tanner on the television sitcom Full House (1987–1995). As they grew older, they began starring in other television shows, films, and media through their own production company, Dualstar. The twins became preteen icons, and some of the wealthiest women in the entertainment industry at a young age.\nThe Olsens stepped away from acting in the mid-2000s and entered the fashion design industry. They founded their own luxury fashion label in 2006, The Row, based in New York City. They have won several awards from the Council of Fashion Designers of America (CFDA)."
